"filename", "language", "PostCSS", "Markdown", "XML", "JSON", "PHP", "Docker", "JavaScript", "YAML", "comment", "blank", "total"
"c:\laragon\www\lexcita-app\database\migrations\2024_01_01_000001_create_usuarios_table.php", "PHP", 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\laragon\www\lexcita-app\database\migrations\2024_01_01_000002_create_horarios_disponibles_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\laragon\www\lexcita-app\database\migrations\2024_01_01_000003_create_citas_table.php", "PHP", 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\laragon\www\lexcita-app\database\migrations\2024_01_01_000004_add_email_verified_at_to_usuarios.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\laragon\www\lexcita-app\database\migrations\2026_08_04_000000_remove_email_verified_at_from_usuarios_table.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 6, 4, 31
"c:\laragon\www\lexcita-app\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 50, 0, 0, 0, 3, 9, 62
"c:\laragon\www\lexcita-app\memory\review-clientecontroller.md", "Markdown", 0, 129, 0, 0, 0, 0, 0, 0, 0, 48, 177
"c:\laragon\www\lexcita-app\package.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\laragon\www\lexcita-app\phpunit.xml", "XML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\laragon\www\lexcita-app\public\css\lexcita.css", "PostCSS", 353, 0, 0, 0, 0, 0, 0, 0, 21, 26, 400
"c:\laragon\www\lexcita-app\public\index.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 4, 7, 21
"c:\laragon\www\lexcita-app\resources\css\app.css", "PostCSS", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\laragon\www\lexcita-app\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\laragon\www\lexcita-app\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\laragon\www\lexcita-app\resources\views\abogado\agenda.blade.php", "PHP", 0, 0, 0, 0, 56, 0, 0, 0, 1, 6, 63
"c:\laragon\www\lexcita-app\resources\views\abogado\dashboard.blade.php", "PHP", 0, 0, 0, 0, 81, 0, 0, 0, 0, 8, 89
"c:\laragon\www\lexcita-app\resources\views\auth\login.blade.php", "PHP", 0, 0, 0, 0, 165, 0, 0, 0, 0, 17, 182
"c:\laragon\www\lexcita-app\resources\views\auth\registro.blade.php", "PHP", 0, 0, 0, 0, 146, 0, 0, 0, 0, 17, 163
"c:\laragon\www\lexcita-app\resources\views\auth\verificacion-aviso.blade.php", "PHP", 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"c:\laragon\www\lexcita-app\resources\views\cliente\dashboard.blade.php", "PHP", 0, 0, 0, 0, 189, 0, 0, 0, 0, 16, 205
"c:\laragon\www\lexcita-app\resources\views\cliente\mis-citas.blade.php", "PHP", 0, 0, 0, 0, 117, 0, 0, 0, 0, 15, 132
"c:\laragon\www\lexcita-app\resources\views\cliente\nueva-cita.blade.php", "PHP", 0, 0, 0, 0, 340, 0, 0, 0, 6, 37, 383
"c:\laragon\www\lexcita-app\resources\views\cliente\ticket.blade.php", "PHP", 0, 0, 0, 0, 304, 0, 0, 0, 9, 45, 358
"c:\laragon\www\lexcita-app\resources\views\components\nav-link.blade.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\laragon\www\lexcita-app\resources\views\interno\abogados.blade.php", "PHP", 0, 0, 0, 0, 122, 0, 0, 0, 0, 5, 127
"c:\laragon\www\lexcita-app\resources\views\interno\citas.blade.php", "PHP", 0, 0, 0, 0, 96, 0, 0, 0, 0, 5, 101
"c:\laragon\www\lexcita-app\resources\views\interno\clientes.blade.php", "PHP", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\laragon\www\lexcita-app\resources\views\interno\dashboard.blade.php", "PHP", 0, 0, 0, 0, 78, 0, 0, 0, 0, 5, 83
"c:\laragon\www\lexcita-app\resources\views\interno\estadisticas.blade.php", "PHP", 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\laragon\www\lexcita-app\resources\views\layouts\app.blade.php", "PHP", 0, 0, 0, 0, 149, 0, 0, 0, 2, 12, 163
"c:\laragon\www\lexcita-app\resources\views\pago\cancelado.blade.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\laragon\www\lexcita-app\resources\views\pago\exito.blade.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\laragon\www\lexcita-app\resources\views\pago\instrucciones.blade.php", "PHP", 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
"c:\laragon\www\lexcita-app\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 0, 270, 0, 0, 0, 0, 8, 278
"c:\laragon\www\lexcita-app\routes\console.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\laragon\www\lexcita-app\routes\web.php", "PHP", 0, 0, 0, 0, 48, 0, 0, 0, 0, 8, 56
"c:\laragon\www\lexcita-app\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 4, 5, 20
"c:\laragon\www\lexcita-app\tests\TestCase.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 1, 4, 11
"c:\laragon\www\lexcita-app\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 3, 4, 17
"c:\laragon\www\lexcita-app\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"Total", "-", 362, 151, 35, 8582, 4017, 14, 21, 56, 619, 798, 14655
